"ds","y","cap"
"1900-01-01",10.36906866,25.1
"1900-02-01",12.05774473,25.1
"1900-03-01",14.74726439,25.1
"1900-04-01",17.79775584,25.1
"1900-05-01",20.62658832,25.1
"1900-06-01",22.37148177,25.1
"1900-07-01",23.36251282,25.1
"1900-08-01",23.08185185,25.1
"1900-09-01",21.25864986,25.1
"1900-10-01",18.59189829,25.1
"1900-11-01",15.00544957,25.1
"1900-12-01",12.19986952,25.1
"1901-01-01",10.57813989,25.109
"1901-02-01",11.12456125,25.109
"1901-03-01",14.88892023,25.109
"1901-04-01",18.12752051,25.109
"1901-05-01",20.53198433,25.109
"1901-06-01",22.61719345,25.109
"1901-07-01",23.34550655,25.109
"1901-08-01",22.99910684,25.109
"1901-09-01",21.22525584,25.109
"1901-10-01",18.27956182,25.109
"1901-11-01",14.49159886,25.109
"1901-12-01",11.42401709,25.109
"1902-01-01",11.21933903,25.118
"1902-02-01",12.02582877,25.118
"1902-03-01",15.30360855,25.118
"1902-04-01",17.78799459,25.118
"1902-05-01",20.33603048,25.118
"1902-06-01",22.29263447,25.118
"1902-07-01",22.9059245,25.118
"1902-08-01",22.60930228,25.118
"1902-09-01",20.9557792,25.118
"1902-10-01",17.91405214,25.118
"1902-11-01",14.64505157,25.118
"1902-12-01",11.31135299,25.118
"1903-01-01",10.8199792,25.127
"1903-02-01",12.32779858,25.127
"1903-03-01",15.17295783,25.127
"1903-04-01",17.71878832,25.127
"1903-05-01",20.45549744,25.127
"1903-06-01",22.09567892,25.127
"1903-07-01",22.89860997,25.127
"1903-08-01",22.68715014,25.127
"1903-10-01",17.9473812,25.127
"1903-11-01",14.31099601,25.127
"1903-12-01",11.06260627,25.127
"1904-01-01",10.03027066,25.136
"1904-02-01",12.14803447,25.136
"1904-03-01",14.30262934,25.136
"1904-04-01",17.60713419,25.136
"1904-05-01",20.18037179,25.136
"1904-06-01",22.03857436,25.136
"1904-07-01",22.86940199,25.136
"1904-08-01",22.66138661,25.136
"1904-09-01",20.75664986,25.136
"1904-10-01",17.95769117,25.136
"1904-11-01",14.38251225,25.136
"1904-12-01",11.44206496,25.136
"1905-01-01",10.38371481,25.145
"1905-02-01",10.70269943,25.145
"1905-03-01",14.17735214,25.145
"1905-04-01",17.06739801,25.145
"1905-05-01",20.57465869,25.145
"1905-06-01",22.55891396,25.145
"1905-07-01",23.21639259,25.145
"1905-08-01",22.7630604,25.145
"1905-09-01",21.1976547,25.145
